Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Attached/Subordinated Offices,SOUTHERN REGION FARM MACHINERY TRAINING AND TESTING INSTITUTE (SRFMTTI) ANDHRA PRADESH
Central Government,Ministry of Electronics & Information Technology (MeitY),Attached/Subordinated Offices,STANDARDISATION TESTING AND QUALITY CERTIFICATION
Central Government,Department of Social Justice and Empowerment (DoSJE),Statutory/Autonomous Bodies,SWAMI VIVEKANAND NATIONAL INSTITUTE OF REHABILITATION TRAINING AND RESEARCH
Central Government,Department of Posts (DoP),Other Offices,TAMILNADU CIRCLE
Central Government,"Ministry of Ports, Shipping and Waterways",Statutory/Autonomous Bodies,TARIFF AUTHORITY FOR MAJOR PORTS
Central Government,Department of Telecommunication (DOT),Statutory/Autonomous Bodies,TELECOMMUNICATION ENGINEERING CENTRE
Central Government,Ministry of Textiles (MoT),Commissions/Committees/Missions,"TEXTILE COMMISSIONER, MUMBAI"
Central Government,Ministry of Textiles (MoT),Commissions/Committees/Missions,TEXTILES COMMITTEE
Central Government,Ministry of Tribal Affairs (MoTA),Statutory/Autonomous Bodies,THE TRIBAL COOPERATIVE MARKETING DEVELOPMENT FEDERATION OF INDIA (TRIFED)
Central Government,Department of Commerce (DoC),Statutory/Autonomous Bodies,TOBACCO BOARD
Central Government,Ministry of Housing and Urban Affairs (MoHUA),Attached/Subordinated Offices,TOWN AND COUNTRY PLANNING ORGANISATION (TCPO)
Central Government,Ministry of Labour And Employment (MoLE),Statutory/Autonomous Bodies,V.V.GIRI NATIONAL LABOUR INSTITUTE (VVGNLI)
Central Government,Ministry of Home Affairs (MHA) - [Representing 5 departments],PSUs/JVs/Companies/Societies,WELFARE AND REHABILITATION BOARD
Central Government,Department of Posts (DoP),Other Offices,WEST BENGAL CIRCLE
Central Government,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Statutory/Autonomous Bodies,WILDLIFE INSTITUTE OF INDIA
Central Government,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Attached/Subordinated Offices,ZOOLOGICAL SURVEY OF INDIA
